ID,Nitrogen,Phosphorus,Potassium,Chlorophyll
735,1.88,0.26,2.63,329.52
736,1.91,0.3,2.24,306.22
737,2.5,0.34,2.66,348.49
738,2.47,0.34,2.01,324.09
739,2.78,0.31,2.18,511.02
740,3.33,0.55,2.47,546.99
741,3.2,0.36,1.59,552.06
742,2.98,0.32,1.85,419.53
743,2.63,0.38,2.48,396.56
744,2.02,0.25,2.07,387.91
745,2.93,0.34,2.36,454.2
746,3,0.35,2.66,377.87
747,1.63,0.23,2.13,424.24
748,2.3,0.29,1.95,360.97
749,2.6,0.47,2.54,418.69
750,1.39,0.18,2.02,248.54
751,2.01,0.28,2.46,391.67
752,2.7,0.29,2.32,298.11
753,2.93,0.32,2.26,541.96
754,3.55,0.39,2.4,516.99
755,2.78,0.39,2.54,461.56
756,2.47,0.28,2,377.66
757,3,0.44,2.92,380.08
758,2.6,0.32,2.49,376.36
759,2.65,0.35,2.55,472.34
760,2.68,0.34,2.08,445.61
761,2.57,0.31,2.71,519.34
762,2.37,0.34,3.14,390.99
763,2.78,0.33,2.52,479.58
764,3.1,0.62,2.81,448.06
765,2.13,0.25,2.51,288.38
766,2.37,0.26,2.59,389.86
767,2.12,0.2,2.12,327.53
768,2.53,0.32,2.3,400.6
769,2.98,0.42,2.98,375.53
770,2.5,0.49,2.64,326
771,2.69,0.3,2.63,459.6
772,3.22,0.33,1.67,596.94
773,2.67,0.33,2.23,397.79
774,2.83,0.36,1.96,305.4
775,2.86,0.28,2.32,221.7
776,2.97,0.29,1.56,403.4
777,3.09,0.29,2.28,371.7
778,2.89,0.36,2.21,367.5
779,3.59,0.39,2.29,433.7
780,3.63,0.39,2.42,492.6
781,3.1,0.3,2.16,446.3
782,3.3,0.3,1.85,377.6
783,2.68,0.26,1.9,298
784,3.42,0.34,2.4,494.5
785,3.1,0.28,1.98,390.3
786,3.13,0.27,2.44,402.3
787,2.59,0.28,2.13,333.2
788,3.81,0.34,2.09,483.4
789,3.65,0.32,2.51,451.9
790,2.76,0.24,1.94,354.6
791,3.42,0.29,2.35,421.7
792,3.3,0.3,2.59,320.4
793,2.97,0.28,2.2,426.2
794,2.95,0.2,3.32,424.8
795,3.29,0.28,2.75,268.4
796,3.22,0.27,2.09,478.7
797,3.07,0.25,2.01,398.4
798,3.22,0.28,2.15,461.1
799,2.8,0.26,2.3,336.2
800,3.06,0.3,2.36,408.9
801,3.02,0.25,2.28,424.6
802,3.43,0.3,2.31,444.2
803,3,0.24,1.76,425.7
804,2.92,0.24,2.6,353.5
805,2.6,0.26,2.05,432.8
806,2.93,0.22,2.59,405.5
807,2.84,0.26,1.8,429.1
808,3.25,0.32,2.05,439.8
809,3.03,0.28,2.15,479.9
810,2.91,0.3,2.09,469.6
811,2.9,0.27,2.29,372.8
812,2.73,0.27,1.92,459.2
813,3.1,0.24,2.45,394.1
814,2.55,0.23,2.46,307.5
815,3.29,0.28,1.63,412.6
816,2.79,0.32,1.76,333.8
817,3.61,0.38,1.72,558.6
818,2.89,0.28,2.42,397.7
819,2.96,0.28,2.15,455.7
820,3.09,0.25,2.22,398.1
821,3.14,0.36,1.57,469.5
822,3.1,0.28,1.79,318.5
823,3.02,0.31,1.41,432.8
824,3.1,0.29,2.11,293.5
825,2.96,0.25,1.28,403.6
826,3.09,0.25,2.38,388.2
827,3.33,0.3,1.4,527.4
828,2.84,0.28,1.67,434.7
829,2.53,0.19,2.28,363.5
830,2.93,0.28,2.06,457.5
831,2.91,0.24,2.09,397.4
832,3.2,0.26,2.01,446
833,3.05,0.28,2.25,374.7
